31,7,3
33,22,3
36,47,4
47,30,4
30,33,4
33,7,3
22,11,1
33,41,4
31,39,4
47,28,4
13,0,1
3,17,1
43,34,4
12,22,1
8,27,2
4,9,1
3,46,2
19,35,2
40,8,3
48,44,4
18,29,2
14,38,2
24,9,1
20,0,1
6,25,1
33,19,3
46,25,3
11,40,2
24,11,1
3,3,1
10,45,2
27,28,4
44,22,3
7,2,1
34,30,4
8,28,2
41,16,3
21,30,2
40,38,4
4,19,1
27,46,4
44,2,3
4,9,1
41,26,4
28,16,3
7,34,2
42,14,3
21,12,1
39,25,3
2,38,2
6,41,2
47,45,4
12,49,2
45,47,4
13,16,1
4,34,2
17,41,2
45,41,4
42,7,3
11,6,1
5,12,1
7,41,2
46,22,3
34,48,4
44,12,3
18,13,1
1,21,1
29,8,3
33,43,4
29,18,3
0,49,2
0,13,1
46,3,3
48,37,4
47,22,3
37,11,3
4,10,1
32,15,3
37,39,4
36,29,4
3,27,2
19,48,2
38,40,4
36,22,3
29,38,4
21,24,1
3,13,1
14,39,2
25,34,2
30,49,4
44,27,4
36,47,4
34,6,3
38,27,4
20,28,2
26,16,3
26,32,4
15,31,2
0,7,1
46,41,4
